# data: ECDSA verification vectors; focus on format/validation as per SEC 1/2. Avoid key-recovery writeups in public threads.
msg_hash,r,s
cedf77fa5cf6cebab2008e83e48078674347770be72358866c60be16e442503d,b80261158cc7fa5bdddc873f01a894486a49cb88a08d085e7f54a084e9098c1b,42202def054009ab4fe6dda619d0c63995ba9633a97d79599e2428cb197e9666
4b70d5590a169303972e45caf8e36631187d2e80bb38072fa5b531ffa80f59b9,f32d851074d2bd3df29f794ceebda91365ca8ff0dabb8108a8ad494528a6daa1,1a96f036c087c095b1fb6ea7388675b980068b0f78a4b5f00157c03ab4c8e58e
6a7a6aa147fc0d1079a2edc10d9a5bd607ef4375448a900d0fc9f8104f7c77f5,202b8f64dd8847e7688cbb78e07a3c423df39bc3a38938e57d27be51ad532298,55a63847f8c769b808fb64e14bf51663686162ffe89da664827a3fb2614fd831
d35cb63318f02642d5667dc70259e01aa9935944dd5c15e05353302327b57912,e2f8dcb0c4ea3c41992b5619736b5689a5136b9e15913fe72aa0cbf7a109ba55,5be3b2e6be2a7cf0c578de48fd69ee7d60753daeca8b69469e6c555504351277
40898d20392933f94f4579297301a4ce2f792cede3b3e71a8a5ad3f2abcfec9f,9f1e75a716f0a96560a7ca929b2813e396aa855d1ea8f77ac1540cc43706cbfa,4c714f717581c4f8bc2a5f2e516250b96b7771765df3e781edb07812e43e9917
f6ed5d8143e0ad41b3e0496be3fda8988dbfdcb8a2d6c31dea7c7e8e11cd8bac,d117dedd87c6fee254e5b6fcd786d5e5ca4df5c79c742f13ddad02dbbb1493a7,c87ac10aaa742aaf84ef9186b41f54a6bb8b55be070f6896a0dc09a7aeb1dac5
acfb30b08de4ad25c22934019eac86ecd51032a1cb5f6b7811085638e95e2147,86c7da3596fe6020b92cb1b9d4fcd495070bffdd39881cb4f3f8d26e22d61f6c,6e580251dbcda6980c51c797f427f54810a3df205380310171f58f617603551e
8df5e7766c71af5fc1add9939949c75510999197e75f8df6613c62043d2aa9b4,8f4c4477f3fb46c8e6886ea512bc745d3dff90b5a8915fe96dace7e524f1e42b,be178cf9c68caf9f73ae9489172f47e70c9373aa18a372329a3323ee5365b3c7
be3b306340a47c818f91afbcfa8c67d94ed091a796c2a2992182e9da81a0c063,d846bb0afd75034401120379efe6e509f4a1ff08c2c0682954eb64b5c8d37a41,4a5da8b71f2ca3ffb3ee93a2e8644347f7653ff809eb7af72b770736367a0e74
4ca3b6f9b5c0f95b07ae5944cb1c5fb9643ed5d693b2f1f47865f782194aa16a,4a7e08d1882da9e1a67aa9ae360bb2cc7cf75c68fe16671cb2eb858ea46e3e4d,195faa9900140afb6efc8d0a6843210cae1b2cb3d20c75d3ef6fb2e0db510bdf
f6353779ad17dc103fe813617657bb1df13901f31f2acc14c8d7a09b7d6df576,4bed840a511ac5cd5bbb33e4fb7ccb2900a9c2286dc59a83d6b10add6310f603,2b897ae38244fdfaa908b5ea2c4de93b1ad56cb85304508751252e095efa21a1
c9f647277a96655d860f27ce3ea4bbcac6090f7918dd23bded536b0c7648159f,a97c5bdbf6a25894998c09dbd327fd6e9cec7f50332c3f3a48f8372cf56c28c0,5d235821c7ac05ee937cda789bef79e0c47ac66f254463ec1c1d10b13a4b716c
7d29d36b4f07a74d2702bac3020b834d890df94103f5bb540bfb880a1d684e45,2407a98479625f9e9aafbaefa2a931da4b963bcab78345a0dc80bd0652279e31,dcca826b6ac2e62e1bfd3bbd36a35067595f9daa097ed4a31ba4ef2091b13f26
2ae5a19cc6c3fa0ba8aae1f57271b3295d59f60ac2bc403b096a79728fd2dfd3,ca1e5720ef66b381ce092a14239c6e6adb6e8beb0f54e34ae0b3100c0e474357,d07042047d293581a5135ac0ed1425636705315479c8c03a03cf5dc071fd796c
20d73ff165c4e995ac911a1d9af03b62f820837cbeea3f0fc0e9367cafc7e4c0,d59732fdca4a63a66b8638722255eb60ed9dc6902bb4148d44638acea30e5231,be44301913fd1026f1c4d2aaabc6f3458a751c467c2900e756d0001a2439fc60
21721ae0ea3e0444ada88872c13b11aa1cc97dd3ca6a923574dd666bf328ba90,f58cea7e6bdd39e7eb27c2431bb1f8158f268fe13f9ea24d8e71c84bc4431fa9,b8e4ed827ef7f8a5667c9504433b1ef31593365090ddd3e4021e49a50fe35f62
d6f247e3eff09ef9f387b1f2eaf6221310b1e32f8599bcca7f98fb38d3e2d071,6517b7f1657d2c6ce23ae7c25eb89759fe30a5ad76d4ce26e220ea4937dfa7b1,1c6cf6d8aea23c03645fa6a40782b8a3d6283bce7fb7efd723ba4dad91775bbe
c97bdcb354031b7fd1656dc61a74e506621ae3e2cbdb67409f6a4e0b6617643f,7d8141afd9ee3f21dd4d78c78e8f95751c58cd18a9f2d6ac190156d4b5dee63e,cc8b36f5a721f6f0c0d20c6334ba93563af0f53fe2d9b167614cb0f4782755df
fc95fa9a663eb4f062213f21cb19edc2998788d1a920b0a74e140555f6fdedd4,f71855d505f19a207cb3b6d6286d39721fac883a4c9b6882e5f0bc0f06fe73a3,d437b2bba4141f80bf8c7f5f7fc686efffb3cba186b1454b1efbb809b60d3170
84e68e86b4b208bf22d9eaad7be5ef0a1549d0103ed49d23dd792b3f47094c5b,c031d5dd01ccfbb5d40c07e43163f457e35a18f76540f8dd31e214a8d2a12f05,833642ae4bdb2456853129ba062d2ae50b88580fafb0634ea28a321577dfd6f2
702b9e294e9b1372bc6a2906feb566112ade389ea0c162c874f407825bffb40a,52cb5588ba32a6ff19e37cfda3c06e5e51d1d0f4a6ef5f5cbfbd48449f482b53,48620a30df825c9a5b5d24ab050f0197773daa6b2ea8f31a62ec3c4693ba4c2c
ad1b7d0a47c379cb3893b5f3981e4ab51cb9e3a1b8d98fdd3aef4e61b93d8f05,d0ba897fbad6fc826264a93a13560f88deee0e197ac98a20c2865c12bdcfe228,bb597392676601404b949f15f975fef104537a84b4f168eb785404442702f074
69e54e717c9448a13b45e24c164f086c9d2a4998d4fadd533ef6eb8cde0285f0,a04c4e9798e43372b65b7f8042d730a5aad1ab03f3467480af4d55c4c5fcfed1,4c0f580a05e78e32b2ec13cdb1f8907b6cc2c52f29802b4659cab5e7558b61b2
e3c697a500e7a7a8e8e4d74f202d47c77f2e150ee8ead10e24184bc447126e95,aac11a9975166372a0e54656ac56d60eb46f9461ba8a4bcaf39360729c51c009,b209853cc90b043e49704f974fb388496b1190e3076af7ee158fc1f4d0006df8
75a2bf92ee54fb34f8a85e6b0590aa9757d23ec926fc273638cd56a97d0841e9,8661d94576283adaa4ac126b732b778dc2c8d48b88f44609ec9a3e01260545d4,91fb29396b874f00be0653141f0e8f53db623d0e2e7c61331f73ea544ed5a1ad
d407815b7b7c2258d80c47d7c4a90c74064938e6bec9a58ee720487576f9a57a,5de178961e5a657b7117d8bee36657a9182a4e272756f11219aa090f0627c53c,64c83cacf42981b99d7e1b8b21b4bf72cec10d20d987a8457006cdeeb3354a8d
acf95854538a5cb55df1365cf5359e09ee6d7a109901cd0161413fcc6ea165e0,515b5a7feb9530605316c584f0e6014493c1aa291507fda26cdd54d9e3a9d0ab,64027153ac44b9f13d1313534c3892a5df2b0211c8f7f074b42d659825e0ed61
7466b1e709243d215edc8b19ae387f85b0488229f7533d3b89ad0e4881f61f8a,ed98401d580b6fec7c15fbdf125317143357babbc4bbf5e3cb1b2d67984939be,a5693d479c6fe0bb8a561e1b9470f2581374268ffa77a3e066650313eef20f27
056e8b35b724c6d3924dee5c755c85e7ad96a65ac14be57cee0f3dd81f7d57c0,09f97ec3e22f6f4e08384f4510952535916c785c833cdbe66617900c75b08049,979122b6b205e6005da47fbe769a56a2c03468dce26bb07a503c64fb22aa281e
d2c1c916073f977feaa3ad9c1fee31a2a6f2ba2d8d243863bc411236a25db8df,3c4e4173ecf5039d0546e4562e27ae97b7b7b558919dbfb3c352c266950f2a0a,4d0957bb3d98fa6b138b6483914e390acfb223a4ef5992ddf6a3a760f7dbbb09
c0d49e37602d5d41177364404e68c799dbd057aec39db0ae93a26716ae441549,fbc1bdc93a55bf871ad0b010e09f9ff1d03a2bb7056564f4314f9343bc933629,2b597e30e8d485f8c44e62da4d36a979ec400f904cb74ec353bc4a19231f44cb
b5e1956e77959c58b0f457c15dcb5a034950ff526f6499ee889fc6d2ae9ad6b5,9c6c7120284aef62bdc9d0705a0187b34995c12f50c28e7c07a9efb3b9c8eed8,9cb9a00fa3c8441681ca0cd095c048b529703d71b80f3c4181705a65b70c6580
10ab429a031db25a11f8a0c828ae9473174281b1d5d080e0acc779be69ee953d,c6edc00a6cf91bbfa0dd7c57bd0b6a4a8cd9555ca44642efdb034d54970f06a9,45884698dc5c8c5071168476ab358edc24c28b199bb3d6c378f01536207c25cb
0b14154a99047f47ea25d341ff6a26e487880098319bbc0535b34190b3c9f0d1,87fcaf5154e6cb57a4cd6e25a99998e57f3a321383b5d8feb69e3850258ff88d,e84132e4f4e5686aedb3c226f1fe7cea73c64ce031b193e4e997bef7b78d1bd0
b0bc8382bb39aa7108665ae8fe27df515548e8476df6a6ed72123bd70c5b7baf,b209b0e081a822e0eb926c3bdf803d4239c003b53e0e7e64663fe82cf27d26e2,0a1483099b512cbda23572098ecc9d910a8e077e04a4b907732840c8c260e694
8e663164a5b5c4d90dc57f8a74aeb2a7765d2d77d592982845ad6fa02e175d9d,bcf17bbda1b19454af6fee224fbaa6538c9084b31f0b652e32b9e4e373b0abf2,826d3a203531ea54e84b70ba0cbd3ce7a6136f058cc524064aa5ccc1b9cde5a7
d5037e4ca37735e279728ce8dca05d81b67bb6d95e52a89dbd1498efa2393028,71e3713a93590904739655f35eca73553e24d7536882f95be474eb7297c09204,5607a1939223658cc9f0307dac668cd487f1681317bdb309a4af958b835a47f7
9bc2d57099ea705f80f386b9c0b7c97e0dc45b1cecf476413791e91e02e77323,78731ab7bbbc10949c4cd8c82389c3851bd4136ae0fcf21a35a6c16e60859583,5e61f1aadbc7dbbaad68b98fd2984d7ab6a90e9aa273945763ad25dd1590e43e
240fc6018def38012d6ceb1acd6d5592ca3f0314c8117ac15204f1dcc0552b70,c84b4746b0c2bde4791ac94b3fd1553202f9456681e54a44056ab4c8d54bb52d,b747e4085a44dccac9100afcd0c1d857ea31c0be36a57afd65f75e76a7133ef5
922158698e3cf5c5cf21de2a15d95e743be73757cb65b67001d5c38bee2daa73,e78b2c2cfb92fb5c0bedecde1233048f5136ee4809e80950a305fb92a5ae4678,ff949da26fec4b5959cc3ffa59762370ecdbde16e7ec941bcca0ef7ce4f94049
0a29f24be5a60913a4183d88131d8a23f385dc506e7e3956ef46793788514981,a1a66966d7b9cc3939c219128b9f7c9f0eb389e56b7abb99530646e956279ac3,7f84bb232fc4a882f9564a333ebecd1c2f8fcd9ef5323fff5fbbf95a98396154
78472015d77cd17c094a7777e1451b80d079dd114917da13c68d86890ba79d2f,37132b3907045add7ac6d6dcbbd834627d28f9818f87f2f2dd3acebf27e554ac,4f2491582f8df4b227cd4db22c2bc352769c89d947f44ef155a4d04108fbb7b6
15697f8b65473da7f156d8e94ad7130df526d437120946542b26406b8c02f3d0,b8e45d88068c6dcb8b984c31330a72416f4e4f3776572d715b138c0319ac2123,138b9ed4d528a34f0d1f81c5549a2e7a3df8fc78c989399790d4d24b162e7a54
44dc4fc0a8107ee948ea93684dbf78bc811cad2c8b89059785199b10fde995fc,d73e09de9376891ceb398c55152251b51ac7344f13643a1f405cbd6c529fcc19,c798d1572a6652ab40991afd20e00e7ba4ba4eae9532859857e7fb6b04bbf7d6
c9b8ba2ce900079dd0a7a0e0eda2a1ef3e07c8ce651c5c47bc6600ea7d275982,1140a34f2449e910879e12a24977df668bc6ba12d3438e981fa0bc963b0a4477,b6192b331e5069c245652b90512661a441b6c41e36079d074bc0c8804c2654ef
101ee494fc9fcf80c82fad0a877fa3f6890ecfd92d0ff397a8e2f7f30e0dbbda,4553ecf555c1f531369d39a8b35af0dfbb95f824d4f4bef9a5e24b574035cdac,265d3ba41f40c2f5df18c46df9484119b812b2e960d7493afe83befa17007dfb
928e397205e1decb7c1be267f5ab09025eee4e95199a6693cbcb91c4d10fd9d0,b99a62db94ed6969b9b44ea90ca5d863f0173f9d2d67c52ef9ae0fdb38fdc441,18c0e5abe0edeb683ef715dece947420e1e5da0f9f3d4140db718abd8aa1e41d
eb40349aede0a93c4e214898d64e0d5f1ad4992169df9bfe4594f8bbae679e1f,a9fd796176deba541e1c7d151be50af0a2f6f43369df2273bb30fd8e50ea6de0,5cc4055259a3cf656b1c6c25870ab97b6abdeaf0c14d63becc29fc9b52e07023
1ab8792842b0f9396d1da6994ef824944da7d43c5124243f362007af5d108701,d3747982825d28788d4ca934d111f3eae6aec2c1fadcccfb6dd6463a010dcad3,e79f758449dfc4e81e7fc315079df84d565782fd171b34c6ff7c2c9dd25749dc
af50d564cecb7deadd258d164cc4b0ae04b8fb1b1e0da437acb19c5fcdc4bef5,595f91e4da421e980a6f79b22db261cc519da02fbaa201a857448aa8af10de9e,10347f796c1c0d1e2ff7b70c510189529b8fd22acd1316b1ba2d902499cbc642
bfb841154a0b7655455aacb7c6adf50f8cb909cc9472239849cf5a5d328ee39e,b02799ee1a64a9ea681c935bd19e5c780720e0e31a74df54cf59ef4d39d6cf6e,a172e6301e5c96b495f7d5e7efbe2af4f5ea634c982df7427c1474a472da9915
12299a1cffbf38d9623dc7591c63b994838de7527436053cfa1a99d2d908ce53,53fedc41136004af0a55dd09a758511947737bf25015ca75008767839bc785ac,d754205ec55976127f9b4482f59df4fb2cfaef7a09b2c267505fb9022c0b4569
93468b4a6c8dcd93c0290cedc0d011374644fb6ec6fee923743abbb7c79ffbfc,3c201de32fd36d26fca070e306601b874377a0bee0a9e00df9eb6379ea46e19a,fb97e93d8345c9e39c9be09acd59da513cc6b3b790e63f74352cba06f2a8abd5
202e618ee769bb6e2093ae4d5183cf9cdbdf8d2348189b370d89211dba3a9b80,4543a596a77705040d5897ec339011651c3d3838206a8eb489d818ac2961ef04,871a0805f2c354468ce459fa6430fef4573b36817ba1d935d3f65b7fac6bcacf
b503d428dc4e5d49401923f11e4eb6ee9d8f6a94836e0866f518931cf363429b,cb74d4bbbd5a4b9c262b340f14be960a1f728a404bfcb9b09ed2d2e5a8f3d21f,9cbda43eeaddb2690413e305565d3f0f41ba14cb9bcc1e668631b9343ddb8663
59b54c7dd40430f79200e10635568dde0160f69ed30fc5d2ef6439046f20830d,dbb6d0b4353dbe936e6b024e3f3e481f3e4f286a644b5acc82924c9ac18a5df4,c46676a36ffb54afe9bc59f0a1c197a5939b2f744102a555284244cf88735a4e
